nome,genero,datanascimento,altura,peso,nacionalidade,estadonascimento,modalidade,ouro,prata,bronze
Ana Carolina Vieira ,Feminino,2001-10-24,1.70,63,brasileira,RJ,Natação ,,,
Beatriz Dizotti,Feminino,2000-04-13,1.67,59,brasileira,SP,Natação ,,,
Gabrielle Roncatto ,Feminino,1998-07-19,1.61,60,brasileira,SP,Natação ,,,
Giovana Reis ,Feminino,2004-04-14,1.71,64,brasileira,SP,Natação ,,,
Maria Fernanda Costa ,Feminino,2002-09-05,1.80,68,brasileira,RJ,Natação ,,,
Maria Paula Heitmann ,Feminino,1999-01-31,"1,63",60,brasileira,MG,Natação ,,,
Stephanie Balduccini,Feminino,2004-09-20,1.71,61,brasileira,SP,Natação ,,,
Breno Correia ,Masculino,2004-09-20,1.97,74,brasileira,BA,Natação ,,,
Eduardo Moraes ,Masculino,2001-07-02,1.86,80,brasileira,MG,Natação ,,,
Fernando Scheffer ,Masculino,1998-04-06,1.87,90,brasileira,RS,Natação ,,,1
Gabriel Santos,Masculino,1996-05-04,1.84,80,brasileira,SP,Natação ,,,
Guilherme Basseto,Masculino,1997-03-12,1.83,80,brasileira,SP,Natação ,,,
Guilherme Caribé ,Masculino,2003-01-28,1.95,78,brasileira,BA,Natação ,,,
Guilherme Costa “Cachorrão” ,Masculino,1998-11-01,1.83,82,brasileira,RJ,Natação ,,,
Kayky Mota ,Masculino,1999-04-22,1.84,81,brasileira,SP,Natação ,,,
Marcelo Chierighini ,Masculino,1991-01-15,1.91,92,brasileira,SP,Natação ,,,
Murilo Sartori ,Masculino,2002-06-10,1.80,90,brasileira,SP,Natação ,,,
Nicolas Albiero ,Masculino,1999-07-08,1.83,80,americano,SDF,Natação ,,,
Ana Patrícia,Feminino,1997-09-29,1.94,84,brasileira,MG,Vôlei de praia,1,,
Duda,Feminino,1998-08-01,1.80,70,brasileira,SE,Vôlei de praia,1,,
Carol Solberg,Feminino,1987-08-06,1.78,67,brasileira,RJ,Vôlei de praia,,,
Bárbara,Feminino,1987-08-03,1.78,67,brasileira,RJ,Vôlei de praia,,,
André,Masculino,1989-08-30,1.88,82,brasileira,RJ,Vôlei de praia,,,
George,Masculino,1996-09-12,1.90,87,brasileira,PB,Vôlei de praia,,,
Arthur,Masculino,1997-09-02,2.00,89,brasileira,SP,Vôlei de praia,,,
Evandro,Masculino,1990-07-17,1.65,105,brasileira,RJ,Vôlei de praia,,,
Dora Varella (park),Feminino,2001-07-31,1.65,55,brasileira,SP,Skate,,,
Gabriela Mazetto (street),Feminino,2000-10-06,1.65,54,brasileira,SP,Skate,,,
Isadora Pacheco (park),Feminino,2005-05-29,1.67,59,brasileira,SC,Skate,,,
Pâmela Rosa (street),Feminino,1999-01-19,1.63,56,brasileira,SP,Skate,,,
Raicca Ventura (park),Feminino,2007-03-08,1.59,51,brasileira,SP,Skate,,,
Rayssa Leal “Fadinha” (street),Feminino,2008-01-04,1.60,43,brasileira,MA,Skate,,,1
Augusto Akio “Japinha” (park),Masculino,2000-12-12,1.72,68,brasileira,PR,Skate,,,1
Felipe Gustavo (street),Masculino,1997-02-10,1.75,72,brasileira,DF,Skate,,,
Giovanni Vianna (street),Masculino,2001-01-26,1.80,68,brasileira,SP,Skate,,,1
Kelvin Hoefler (street),Masculino,1994-02-10,1.79,77,brasileira,SP,Skate,,,
Luigi Cini (park),Masculino,2002-06-20,1.74,65,brasileira,PR,Skate,,,
Pedro Barros (park),Masculino,1995-03-16,1.80,75,brasileira,SC,Skate,,,
Ana Cristina,Feminino,1982-10-01,1.73,70,brasileira,MG,Volei,,,1
Carol,Feminino,1981-07-27,1.92,87,brasileira,SP,Volei,,,1
